nuts_id,area
DE271,146451205
DE272,40451969
DE274,69852098
DE275,779821276
DE276,1071539486
DE277,791482232
DE278,763499469
DE27A,362519141
DE27B,1393244623
DE27C,1229853826
DE27D,1274327563
DE27E,1528377573
DE300,891802671
DE402,165105276
DE403,147716929
DE404,186969830
DE405,1480851585
DE406,2275760243
DE408,1727508033
DE409,2157668185
DE40A,1808002190
DE40B,1222991951
DE40C,2257262512
DE40D,2525941858
DE40F,2138824674
DE40G,1657131695
DE40H,2103985680
DE40I,3075955856
DE501,325653456
DE600,752953700
DE711,123129728
DE712,248219964
DE713,45349462
DE714,203833137
DE715,719062175
DE717,453391801
DE718,480834427
DE719,1396967325
DE71A,221560392
DE71B,624912593
DE71D,811959503
DE71E,1100810747
DE721,855384894
DE722,1065259523
DE723,739119120
DE724,1262048659
DE731,104466111
DE732,1381533260
DE733,1097911792
DE734,1295296950
DE735,1539531060
DE737,1024530319
DE803,169356606
DE804,130092765
DE80J,5495399699
DE80K,3429013700
DE80L,3163045256
DE80N,3794003515
DE80O,4767472326
DE911,192350845
DE912,225020331
DE913,205003097
DE916,968986698
DE917,675629458
DE918,1269777085
DE91A,536289288
DE91B,724269674
DE91C,1754938590
DE923,797890185
DE925,1207653904
DE926,694528595
DE927,1401333294
DE928,676291599
DE931,1549926438
DE932,2059559218
DE933,1249135981
DE934,1226457891
DE935,1327182264
DE936,653239923
DE938,1882084318
DE939,1266779128
DE93A,1462369176
DE93B,789108678
DE941,62471475
DE943,103719500
DE944,120246653
DE945,107527598
DE946,729785181
DE947,1294231463
DE948,1421144561
DE94A,617782243
DE94B,982022631
DE94C,1084924661
DE94D,1065100965
DE94E,2121037258
DE94G,828531761
DE94H,659485920
DEA11,217485339
DEA12,233089723
DEA13,210506502
DEA14,136633077
DEA16,91263008
DEA17,77467382
DEA18,74074601
DEA19,88994531
DEA1A,168392667
DEA1C,407841222
DEA1D,576723507
DEA1E,563625408
DEA1F,1042383206
DEA22,141632697
DEA23,406599175
DEA26,940616866
DEA27,703161568
DEA28,1250102374
DEA29,627224851
DEA2A,918236915
DEA2C,1152316605
DEA2D,706836640
DEA31,100250013
DEA32,105301159
DEA33,303551824
DEA34,1421440431
DEA36,761383601
DEA37,1795416902
DEA38,1318701346
DEA41,259063815
DEA42,969502761
DEA44,1200764977
DEA45,1245842637
DEA46,1152037867
DEA47,1246826678
DEA51,144817051
DEA52,279699521
DEA54,227634580
DEA55,51502982
DEA56,410935360
DEA57,1959845290
DEA58,1061165892
DEA5A,1134028630
DEA5B,1329505976
DEA5C,542791350
DEB11,105963722
DEB12,786984984
DEB13,641166572
DEB15,777181128
DEB17,816556337
DEB18,627726377
DEB1A,781556411
DEB1B,990200809
DEB1D,991159860
DEB21,115526987
DEB22,1168687420
DEB23,1627968347
DEB24,911616270
DEB25,1105438177
DEB32,140201031
DEB33,82980420
DEB34,77881590
DEB35,97660091
DEB36,117328502
DEB38,42834512
DEB39,108758921
DEB3A,70875282
DEB3B,588000614
DEB3C,593956976
DEB3D,644647110
DEB3F,640786836
DEB3G,573007461
DEB3H,639551393
DEB3I,304581797
DEB3J,605681483
DEC01,411509234
DEC02,556667792
DEC03,248162193
DEC04,459107449
DEC05,419048239
DEC06,476424499
DED2C,2395553102
DED2D,2111229883
DED2E,1457709372
DED2F,1653695856
DED41,221159682
DED43,2114373789
DED44,1412271184
DED45,949647761
DED51,299058968
DED52,1651467710
DED53,2027545970
DEE02,135724847
DEE03,200560710
DEE04,2303989738
DEE05,1460828796
DEE06,1589446993
DEE08,1418918652
DEE09,2107942888
DEE0A,1456325540
DEE0B,1440241716
DEE0C,1435132028
DEE0D,2436892565
DEF01,49221616
DEF02,112298144
DEF03,211804350
DEF04,71450103
DEF05,1442486636
DEF07,2089343051
DEF08,1386460662
DEF09,660999205
DEF0A,1083003383
DEF0B,2169314942
DEF0C,1990830531
DEF0E,1056157034
DEF0F,766073468
DEG01,270403696
DEG02,152278392
DEG03,114833102
DEG05,84409601
DEG06,942539566
DEG07,714223170
DEG09,979202343
DEG0A,1037927759
DEG0B,1210932018
DEG0D,806931780
DEG0E,937682249
DEG0F,843437155
DEG0G,804425291
DEG0H,433099699
DEG0J,815554728
DEG0K,1151650205
DEG0L,846251321
DEG0M,569495785
DEG0N,104489757
DEG0P,1306121692
DK012,342337737
DK013,1459826963
DK014,590792443
DK021,811584591
DK022,6508495920
DK032,8664590422
DK041,7240090189
DK042,5927057758
DK050,7939275246
EE001,4326274652
EE004,11193774320
EE009,9135681439
EE00A,3454257801
EL301,133959379
EL302,67932111
EL303,88130981
EL305,1514573781
EL306,1004022859
EL307,934557899
EL411,2161161523
EL412,780209498
EL413,906510472
EL422,2599052641
EL431,2644426819
EL432,1827435000
EL433,1495126007
EL434,2378863627
EL512,1799164334
EL513,2549208072
EL514,3468377498
EL515,2123346461
EL521,1702793010
EL522,3682677315
EL524,2507182359
EL525,1523814338
EL526,3969544215
EL527,2926373340
EL531,5810941398
EL533,1925513366
EL541,2642314463
EL542,1515133033
EL543,4992207955
EL611,6024196889
EL612,5389426187
EL621,406998004
EL622,636891589
EL623,903093860
EL624,354327544
EL631,5422229418
EL633,2617899463
EL641,2955958140
EL642,4166912018
EL643,1869320270
EL644,4443954040
EL645,2124544842
EL652,2294439089
EL653,6634700061
ES111,7948378297
ES112,9857202530
ES113,7272566866
ES120,10602960503
ES130,5326190767
ES211,3037213824
ES212,1979592278
ES213,2212523792
ES220,10390951899
ES242,14809247640
ES243,17275103128
ES300,8031200349
ES411,8050328494
ES412,14291469955
ES414,8052139766
ES415,12349637473
ES416,6923709027
ES417,10306473128
ES418,8110347325
ES419,10560739707
ES422,19813563042
ES423,17139868571
ES424,12210538457
ES425,15366945901
ES431,21766335541
ES511,7729865334
ES512,5908619635
ES513,12168329316
ES514,6303371739
ES521,5816809611
ES522,6632089319
ES531,655443334
ES532,3640110024
ES533,695417312
ES611,8774623849
ES612,7436666322
ES614,12647581417
ES615,10127956091
ES616,13496413061
ES617,7308553297
ES618,14036370315
ES620,11314073330
ES640,13927655
ES703,268576861
ES704,1659817411
ES705,1560013516
ES706,369699245
ES708,845856248
ES709,2034347016
FI193,19947126481
FI194,13997076089
FI195,7823759978
FI196,8229539427
FI1B1,9414265342
FI1C1,10620799963
FI1C2,5709022049
FI1C3,6254697478
FI1C4,5604104765
FI1D1,19130562400
FI1D2,20366090584
FI1D3,21582481492
FI1D5,5204295974
FI1D7,98968192615
FI1D8,22688314347
FI200,1370984315
FR101,105303417
FR102,5926989189
FR103,2306867353
FR104,1819663291
FR106,236896783
FR107,244962266
FR108,1253051359
FRB01,7305982374
FRB02,5932116671
FRB03,6899341591
FRB05,6421700941
FRB06,6813126935
FRC11,8801601276
FRC12,6875427953
FRC13,8614612583
FRC21,5256278106
FRC22,5049584813
FRC23,5390460604
FRC24,611063174
FRD11,5587419066
FRD12,6015041522
FRD21,6024935562
FRD22,6300782926
FRE11,5743989332
FRE12,6694306978
FRE21,7411660607
FRE23,6192794540
FRF11,4797387558
FRF12,3531795860
FRF21,5244802458
FRF22,6027628522
FRF23,8197235793
FRF31,5285273905
FRF32,6234493439
FRF33,6251962263
FRF34,5897417434
FRG01,6941579814
FRG03,5213389952
FRG04,6245690639
FRG05,6772373529
FRH01,6982038497
FRH02,6765778746
FRH03,6839444500
FRI11,9222472327
FRI12,10086339655
FRI13,9350042672
FRI14,5385360772
FRI15,7681857979
FRI22,5599911911
FRI23,5557083891
FRI31,5974219318
FRI32,6878172239
FRI33,6040050758
FRI34,7039148711
FRJ12,5875807478
FRJ13,6230775693
FRJ14,5175573327
FRJ15,4137737054
FRJ21,4911377429
FRJ23,6358014063
FRJ24,6300594163
FRJ25,5226212570
FRJ26,4520612554
FRJ27,5781863614
FRJ28,3730791459
FRK12,5774389400
FRK13,5004221952
FRK14,8014653668
FRK21,5785336024
FRK22,5565846327
FRK24,7879140132
FRK25,4804315067
FRK26,3258727439
FRK27,6269941895
FRK28,4839929520
FRL01,6995152245
FRL03,4295136282
FRL04,5246359362
FRL05,6031704498
FRL06,3578157934
FRM01,4019648633
FRY10,1684967892
FRY20,1107651482
FRY30,83751861330
FRY40,2503779167
FRY50,366671998
HR021,2638999698
HR023,1822633091
HR024,2028126840
HR025,4154753489
HR026,2447687323
HR027,3620783147
HR031,3586482478
HR032,5355092288
HR033,3641250939
HR034,2967055052
HR035,4537912036
HR036,2809886542
HR050,641371941
HR061,726591098
HR062,1259754647
HR063,1748227721
HR064,1229578610
HU110,525184979
HU120,6390778488
HU211,4358549880
HU212,2264210590
HU213,4463538478
HU221,4208321399
HU223,3784344747
HU231,4429261375
HU232,6064587138
HU233,3702985503
HU311,7245318939
HU313,2544075987
HU321,6209009328
HU322,5581961349
HU323,5932347098
HU331,8443073066
HU332,5630156898
IE041,11512958472
IE042,14283100297
IE051,10235815126
IE052,7196015342
IE053,12253168541
IE062,6888581042
IE063,6650796321
IS001,1045727586
IS002,101633661422
ITC11,6829562747
ITC12,2083042391
ITC14,2261628302
ITC15,1341269671
ITC16,6898509043
ITC17,1511216558
ITC18,3561654113
ITC31,1155224313
ITC32,1547120177
ITC33,1834282767
ITC34,881726220
ITC41,1199054362
ITC42,1278264089
ITC44,3197594769
ITC46,2747882612
ITC47,4788077963
ITC48,2971077143
ITC49,783568546
ITC4B,2342049625
ITC4C,1576914065
ITC4D,405728007
ITF11,5033358388
ITF12,1947968550
ITF13,1226025398
ITF21,1529221765
ITF22,2911033170
ITF31,2641262953
ITF32,2070210278
ITF33,1173217892
ITF35,4923763563
ITF43,2440334967
ITF44,1837526660
ITF45,2758977899
ITF46,6961046233
ITF47,3825443394
ITF51,6544671716
ITF52,3447651421
ITF61,6650289574
ITF62,1716842121
ITF63,2391636900
ITF65,3181649242
ITG11,2463199004
ITG12,4993004298
ITG13,3245187978
ITG14,3043693842
ITG15,2129375543
ITG17,3552558327
ITG18,1614597492
ITG19,2109961544
ITG2D,7689182884
ITG2E,5642006194
ITG2G,2991927694
ITG2H,6534671271
ITH10,7397349793
ITH20,6207770770
ITH31,3096837769
ITH32,2722089639
ITH34,2477902590
ITH35,2001766409
ITH36,2117632929
ITH37,1666573535
ITH41,2272620719
ITH43,400323500
ITH44,211875256
ITH51,2587751344
ITH52,3449556393
ITH53,2292167662
ITH54,2688592144
ITH56,2630911575
ITH57,1858283618
ITH58,2376878816
ITH59,863621326
ITI11,1155291603
ITI13,964342512
ITI14,3513456810
ITI15,365735367
ITI16,1212738965
ITI17,2445453126
ITI18,3231311347
ITI1A,4502473907
ITI21,6329081954
ITI22,2124825147
ITI31,2564035805
ITI32,1959385217
ITI34,1224922949
ITI35,860446719
ITI41,3612478743
ITI42,2745345569
ITI43,5355537960
ITI44,2249356019
LI000,159929161
LT011,9731957889
LT021,5420460728
LT022,8089329260
LT023,4819675472
LT025,7880668541
LT026,8540046960
LT027,4408500533
LT028,4349333366
LT029,7191850932
LU000,2595343073
LV005,14547482781
LV006,304155502
LV007,10140567168
LV008,15251261560
LV009,10739458109
MK001,4061469344
MK002,3538152112
MK003,3605090091
MK004,2766897716
MK005,4909333005
MK006,2432270406
MK008,1812812390
MT001,246702602
MT002,68730871
NL111,769814203
NL112,273045515
NL124,1537894685
NL125,1453332878
NL126,1006488211
NL131,1061123819
NL132,923669586
NL133,695368790
NL212,425166159
NL213,1503717080
NL221,1860840144
NL224,756196980
NL225,1561157077
NL226,958939245
NL230,2412817981
NL310,1449371425
NL321,1515988658
NL323,173496609
NL325,128236134
NL327,273397954
NL328,302365121
NL329,875333608
NL332,263318419
NL337,297584947
NL33A,512836123
NL33B,521101920
NL33C,1497379259
NL341,749397129
NL342,1185634877
NL412,933222804
NL413,1388052469
NL414,1457772216
NL421,854196493
NL422,694526806
NO020,52072265904
NO060,41483009437
NO081,453963869
NO082,24579309401
NO092,16413506822
NO0A1,9362880741
NO0A2,33810698658
PL213,326845143
PL217,2605117030
PL218,3525138272
PL219,2632325890
PL21A,2040143962
PL224,3049416450
PL225,2352812849
PL228,1575748161
PL229,879015281
PL22A,380165864
PL22B,1800262144
PL22C,944229056
PL414,6397396594
PL415,261914322
PL416,5785944946
PL417,5995400252
PL418,4927037299
PL424,300582087
PL427,10339196805
PL428,7438473188
PL431,6112518255
PL432,7875223210
PL514,292798383
PL516,3473121931
PL517,4179664220
PL518,6431985796
PL523,4091863785
PL524,5319607134
PL613,2916143689
PL617,4005595253
PL618,3340498448
PL619,3655626579
PL621,7333860732
PL622,10330398656
PL633,414098828
PL634,4303027333
PL636,5245598882
PL637,4104680796
PL638,4102272145
PL711,293268901
PL713,5971019794
PL714,5666767564
PL715,4081978303
PL721,5030840224
PL722,6677920325
PL812,9291286421
PL814,4220649524
PL815,5633546111
PL821,5537253179
PL822,4292582604
PL823,3550531071
PL841,5133029273
PL842,8817436243
PL843,6236572481
PL911,517185691
PL912,3123996950
PL921,5762912337
PL922,5255276720
PL923,3351575028
PL924,6505426967
PL925,6043933469
PL926,2535634886
PT112,1246017962
PT119,1451309794
PT11A,2041261050
PT11B,2922768202
PT11C,1831510506
PT11E,5542061932
PT150,4959992999
PT16B,2219760816
PT16D,1644824473
PT16E,4335391610
PT16F,2448991217
PT16H,4610659909
PT16I,3344273455
PT16J,6302123492
PT170,2853099466
PT181,5226530093
PT185,4274774675
PT186,6083718966
PT187,7395955826
PT200,2322927810
PT300,801100368
RO111,7537868562
RO113,6673134061
RO114,6302778386
RO115,4418680759
RO116,3867605366
RO121,6251565003
RO123,3708561760
RO124,6639512180
RO125,6708220278
RO126,5434494812
RO211,6623469305
RO212,4983964812
RO214,5898354567
RO215,8553588475
RO216,5316088429
RO221,4764775663
RO222,6101510079
RO224,4464144370
RO225,8470008073
RO226,4854863935
RO311,6823848509
RO312,5079583218
RO313,4046110675
RO315,4454564541
RO316,4716192810
RO317,5797482507
RO321,240335901
RO322,1564033867
RO412,5572679062
RO413,4944936513
RO414,5507049100
RO415,5765430640
RO421,7743440452
RO422,8529563680
RO424,8686679834
RS110,3234332836
RS121,2393964459
RS122,4247401419
RS123,4011672961
RS125,1784159803
RS126,3256092916
RS127,3477761368
RS211,6145210302
RS212,2475536976
RS213,3270587280
RS215,2613637736
RS216,2667197960
RS217,3920137989
RS218,2386934484
RS221,3505332316
RS223,3624466278
RS224,2770183575
RS225,2728774369
RS226,2760924416
RS227,1248805248
RS228,3520213134
SE110,7091540121
SE121,8622325617
SE122,7049650115
SE123,12259758425
SE124,9687201910
SE211,11746623100
SE212,9426682672
SE213,11635391267
SE214,3178046272
SE221,3038304789
SE224,11359895475
SE232,28884772028
SE311,21909451746
SE312,30398168232
SE313,19705187795
SE321,23084341206
SE331,59238506115
SE332,105913915165
SI031,1337493173
SI032,2170143126
SI033,1040978756
SI034,2301467116
SI036,968520525
SI037,2675771833
SI038,1456137729
SI041,2334378371
SI042,2136895502
SI044,1043394500
SK010,2051661540
SK021,4145361893
SK022,4501915635
SK023,6342519025
SK031,6806819405
SK041,8971436307
SK042,6751721674
TR100,5340236125
TR211,6386179287
TR212,5919512267
TR221,14367487413
TR222,9699549662
TR310,11801956866
TR321,7802820515
TR322,11803766101
TR323,12420421892
TR332,14730359007
TR333,12016474506
TR334,5368942010
TR411,10892693021
TR412,13907205678
TR421,3600445304
TR422,4896099148
TR423,2573608978
TR424,8340457312
TR425,806149177
TR510,25460026785
TR522,8868775253
TR611,20485672947
TR612,8941933183
TR613,7134355777
TR621,13906426157
TR631,5639869201
TR632,14462711241
TR633,3193708987
TR711,4570497735
TR712,7995202715
TR713,7367217150
TR715,6536100792
TR721,17117679581
TR722,28583418082
TR723,14080558409
TR811,3332631106
TR813,2100336050
TR821,13176749595
TR822,7488228732
TR823,5832196290
TR831,9433447629
TR832,10071914558
TR834,5704215258
TR901,4630805691
TR902,5901752591
TR903,6781716686
TR904,3936114118
TR906,6438746605
TRA11,25338154282
TRA12,11740614212
TRA13,3738837803
TRA21,11381371020
TRA22,9958653913
TRA24,5124699533
TRB11,12110395695
TRB12,9338735975
TRB13,8258787581
TRB14,7631065619
TRB22,8071493586
TRB23,8850337126
TRB24,6990568024
TRC11,6844187551
TRC12,7528984715
TRC13,1361473518
TRC22,15210328054
TRC31,8696660840
TRC32,4660787332
TRC33,6998523496
TRC34,5476557486
UKC12,299258187
UKC13,197664200
UKC14,2233577866
UKC21,5031966465
UKC22,405481939
UKC23,138808740
UKD12,4753033531
UKD33,115700293
UKD34,203359302
UKD35,229494410
UKD36,328169597
UKD41,137166680
UKD42,34958411
UKD44,860835240
UKD45,1007394386
UKD46,491438061
UKD47,550782345
UKD62,1167140864
UKD63,917773185
UKD71,302334076
UKD72,111878357
UKD73,153335575
UKE11,71761590
UKE12,2412459578
UKE13,1039187798
UKE21,272228385
UKE22,8049382841
UKE31,1185090746
UKE41,366729380
UKE42,552234680
AL,28791220782
AT,83944131844
BE,30667412320
CH,41288626693
CY,9249190320
CZ,78873924150
DK,43167324923
EE,45326184410
EL,131690303226
FI,337547133393
FR,638351550171
HR,56548908367
IE,69946018131
IS,102679389008
IT,300577786997
LT,64899422095
LU,2595343073
LV,64586056033
MK,25435157590
MT,315433472
NL,37382346792
PL,311928040374
PT,91887668605
RO,238368870795
SE,449717796228
SI,20275653007
SK,49025932276
UK,244613383662
AL0,28791220782
AT1,23574840407
AT3,34413578323
BE1,162513114
BE2,13599136146
BG3,68327885904
BG4,42666555613
CH0,41288626693
CY0,9249190320
DE1,36010634857
DE2,70584223721
DE3,891802671
DE5,402340313
DE6,752953700
DE7,21115082727
DE8,23073033434
DEA,34113426176
DEB,19856451870
DEC,2570919407
DEE,20552380422
DEF,15698143647
DEG,16200793212
DK0,43167324923
EL3,3814038292
EL4,17504937787
EL5,51633672019
ES1,45500915294
ES2,70386418075
ES3,8031200349
ES4,215314153104
ES6,98947521689
ES7,7446532441
FI1,336176149078
FR1,12069261342
FRB,39529746193
FRC,48060572281
FRD,30074477709
FRF,57724885000
FRG,32345559251
FRH,27419080084
FRJ,73367230092
FRK,71135483496
FRL,31837141406
FRM,8726799131
HR0,56548908367
HU1,6915963467
HU2,36612160399
IE0,69946018131
IS0,102679389008
ITC,57956476146
ITF,73262447441
ITH,61516446908
ITI,58022450765
LI0,159929161
